,name,price,uom,supermarket,product_type,weight,price_kg,number_of_units,price_unit,volume,price_lit
4465,Nước tinh khiết Aquafina chai 500ml thùng 24,118000,thùng,Co.op,water,,,,,12000.0,9833.333333333334
4466,Nước tinh khiết Aquafina chai 355ml thùng 24,111000,thùng,Co.op,water,,,,,8520.0,13028.169014084508
4471,Nước khoáng Lavie dịu nhẹ 500ml,4800,chai,Co.op,water,,,,,500.0,9600.0
4472,Nước khoáng Vĩnh Hảo chai 24 x 350ml,80000,thùng,Co.op,water,,,24.0,3333.3333333333335,8400.0,9523.809523809523
4473,Thùng nước khoáng Evian 24 x 500ml,744500,thùng,Co.op,water,,,24.0,31020.833333333332,12000.0,62041.666666666664
4474,Nước khoáng Vivant 24 x 500ml,111000,thùng,Co.op,water,,,24.0,4625.0,12000.0,9250.0
4477,Nước tinh khiết Satori 24 x 500ml,118000,thùng,Co.op,water,,,24.0,4916.666666666667,12000.0,9833.333333333334
4478,Nước tinh khiết Aquafina chai 355ml,4700,chai,Co.op,water,,,,,355.0,13239.43661971831
4479,Nước tinh khiết Aquafina chai 5L thùng 4,109600,thùng,Co.op,water,,,,,20000.0,5480.0
4480,Nước uống đóng chai TH True Water 1.5L,10700,chai,Co.op,water,,,,,1500.0,7133.333333333334
4482,Nước khoáng tự nhiên Evian Pháp 1.5L,70500,chai,Co.op,water,,,,,1500.0,47000.0
4483,Nước tinh khiết Miaqua 24x500ml,157000,thùng,Co.op,water,,,24.0,6541.666666666667,12000.0,13083.333333333334
4484,Nước tinh khiết Miaqua 500ml,7100,chai,Co.op,water,,,,,500.0,14200.0
4485,Nước khoáng thiên nhiên Evi 330ml,53600,chai,Co.op,water,,,,,330.0,162424.24242424243
4486,Nước khoáng tự nhiên Evian Pháp 500ml,32800,chai,Co.op,water,,,,,500.0,65600.0
4488,Nước tinh khiết Sapuwa 5L,22500,chai,Co.op,water,,,,,5000.0,4500.0
4489,Nước khoáng thiên nhiên Lavie 5L x 4,96000,thùng,Co.op,water,,,,,20000.0,4800.0
4490,Nước khoáng thiên nhiên Lavie bình 5L,25200,chai,Co.op,water,,,,,5000.0,5040.0
4492,Nước khoáng thiên nhiên Lavie thùng 24 x 500ml,110500,thùng,Co.op,water,,,24.0,4604.166666666667,12000.0,9208.333333333334
4493,Nước khoáng thiên nhiên Lavie thùng 24 x 350ml,102900,thùng,Co.op,water,,,24.0,4287.5,8400.0,12250.0
4494,Nước khoáng thiên nhiên Lavie chai 350ml,4600,chai,Co.op,water,,,,,350.0,13142.857142857143
4495,Nước khoáng Dasani 24x510ml,110000,thùng,Co.op,water,,,24.0,4583.333333333333,12240.0,8986.928104575163
4496,Nước khoáng Dasani 510ml,5000,chai,Co.op,water,,,,,510.0,9803.921568627451
4497,Nước tinh khiết Satori 1.5L,10600,chai,Co.op,water,,,,,1500.0,7066.666666666666
4500,Nước tinh khiết Aquafina chai 1.5L thùng 12,124600,thùng,Co.op,water,,,,,18000.0,6922.222222222223
4501,Nước tinh khiết Aquafina chai 1.5L,11000,chai,Co.op,water,,,,,1500.0,7333.333333333333
4502,Nước tinh khiết Dasani pet 24 x 510ml,105200,thùng,Co.op,water,,,24.0,4383.333333333333,12240.0,8594.771241830065
4503,Nước tinh khiết Dasani pet 510ml,4800,chai,Co.op,water,,,,,510.0,9411.764705882353
4504,Nước khoáng thiên nhiên Lavie 12 x700ml,108500,thùng,Co.op,water,,,12.0,9041.666666666666,8400.0,12916.666666666666
4505,Nước khoáng thiên nhiên Lavie 700ml,9500,chai,Co.op,water,,,,,700.0,13571.42857142857
4506,Nước khoáng Vikoda 24 x500ml,140800,thùng,Co.op,water,,,24.0,5866.666666666667,12000.0,11733.333333333332
4507,Nước khoáng Vikoda pet 500ml,6100,chai,Co.op,water,,,,,500.0,12200.0
4508,Nước khoáng thiên nhiên Lavie 500ml,4900,chai,Co.op,water,,,,,500.0,9800.0
4509,Nước khoáng thiên nhiên Lavie 12 x 500ml,56000,lốc,Co.op,water,,,12.0,4666.666666666667,6000.0,9333.333333333334
4510,Nước tinh khiết Aquafina chai 500ml,5000,chai,Co.op,water,,,,,500.0,10000.0
4511,Nước Tinh Khiết Aquafina 5L,27800,chai,Co.op,water,,,,,5000.0,5560.0
4512,Nước khoáng thiên nhiên Miocen 12 x 1L,115000,thùng,Co.op,water,,,12.0,9583.333333333334,12000.0,9583.333333333334
4513,Nước khoáng thiên nhiên Miocen 1L,10500,chai,Co.op,water,,,,,1000.0,10500.0
4516,Nước khoáng thiên nhiên Lavie 1.5L,9600,chai,Co.op,water,,,,,1500.0,6400.0
4517,Nước khoáng thiên nhiên Lavie thùng 12 chai x 1.5L,109000,thùng,Co.op,water,,,,,18000.0,6055.555555555556
4518,Nước uống đóng chai Coop Select chai 330ml,3200,chai,Co.op,water,,,,,330.0,9696.969696969698
4519,Nước uống đóng chai Coop Select thùng 24x330ml,73500,thùng,Co.op,water,,,24.0,3062.5,7920.0,9280.303030303032
4520,Nước uống đóng chai Coop Select 500ml,4000,chai,Co.op,water,,,,,500.0,8000.0
4521,Nước uống đóng chai Coop Select thùng 24 x 500ml,90500,thùng,Co.op,water,,,24.0,3770.8333333333335,12000.0,7541.666666666667
4522,Nước tinh khiết Sapuwa chai 330ml,3600,chai,Co.op,water,,,,,330.0,10909.090909090908
4523,Nước tinh khiết Sapuwa chai 500ml,4200,chai,Co.op,water,,,,,500.0,8400.0
4524,Nước tinh khiết Dasani lốc 6 chai x 1.5L,53300,lốc,Co.op,water,,,,,9000.0,5922.222222222223
