country,product_category,bin_min,bin_max,bin_count
Vietnam,rice_noodles,1.686202,2.176377,4
Vietnam,rice_noodles,2.176377,2.6665520000000003,3
Vietnam,rice_noodles,2.6665520000000003,3.156727,7
Vietnam,rice_noodles,3.156727,4.646902000000001,2
Russia,soybean_oil,,,0
Vietnam,soybean_oil,2.1881412,2.2842155,3
Vietnam,soybean_oil,2.2842155,2.3802898,3
Vietnam,soybean_oil,2.3802898,2.4763641,3
Vietnam,soybean_oil,2.4763641,2.5724384000000002,13
Vietnam,soybean_oil,2.5724384000000002,2.6685127,2
Vietnam,soybean_oil,2.6685127,3.764587,11
Russia,rice,1.06126544,1.5661210959999998,12
Russia,rice,1.5661210959999998,2.070976752,23
Russia,rice,2.070976752,2.575832408,21
Russia,rice,2.575832408,3.0806880640000003,13
Russia,rice,3.0806880640000003,3.5855437200000004,10
Russia,rice,3.5855437200000004,4.090399376,9
Russia,rice,4.090399376,4.595255032,3
Russia,rice,4.595255032,5.100110688,6
Russia,rice,5.100110688,5.604966344,0
Russia,rice,5.604966344,7.109822,2
Vietnam,rice,0.725459,0.8683722444444444,7
Vietnam,rice,0.8683722444444444,1.011285488888889,5
Vietnam,rice,1.011285488888889,1.1541987333333332,12
Vietnam,rice,1.1541987333333332,1.2971119777777778,4
Vietnam,rice,1.2971119777777778,1.4400252222222223,8
Vietnam,rice,1.4400252222222223,1.5829384666666666,11
Vietnam,rice,1.5829384666666666,1.7258517111111114,7
Vietnam,rice,1.7258517111111114,1.8687649555555557,6
Vietnam,rice,1.8687649555555557,3.0116782,5
Russia,buckwheat,0.66324944,1.1215851333333333,6
Russia,buckwheat,1.1215851333333333,1.5799208266666667,6
Russia,buckwheat,1.5799208266666667,2.03825652,7
Russia,buckwheat,2.03825652,2.4965922133333334,5
Russia,buckwheat,2.4965922133333334,2.9549279066666667,3
Russia,buckwheat,2.9549279066666667,4.4132636000000005,4
Vietnam,buckwheat,4.195898,5.195898,1
Russia,eggplant,2.6766576,2.99114552,1
Russia,eggplant,2.99114552,4.30563344,1
Vietnam,eggplant,0.8587866000000001,0.9293718,1
Vietnam,eggplant,0.9293718,1.999957,1
Russia,spaghetti,0.5801636,1.6282724000000002,10
Russia,spaghetti,1.6282724000000002,2.6763812000000002,6
Russia,spaghetti,2.6763812000000002,3.7244900000000007,4
Russia,spaghetti,3.7244900000000007,4.7725988,0
Russia,spaghetti,4.7725988,6.8207076,1
Vietnam,spaghetti,2.8783076,3.4869088799999997,7
Vietnam,spaghetti,3.4869088799999997,4.09551016,1
Vietnam,spaghetti,4.09551016,4.70411144,4
Vietnam,spaghetti,4.70411144,5.31271272,2
Vietnam,spaghetti,5.31271272,6.921314,5
Russia,fish_sauce,9.31003648,10.31003648,1
Vietnam,fish_sauce,1.0413495555555556,2.7576552323232324,25
Vietnam,fish_sauce,2.7576552323232324,4.473960909090909,27
Vietnam,fish_sauce,4.473960909090909,6.190266585858587,13
Vietnam,fish_sauce,6.190266585858587,7.906572262626264,14
Vietnam,fish_sauce,7.906572262626264,9.62287793939394,15
Vietnam,fish_sauce,9.62287793939394,11.339183616161618,7
Vietnam,fish_sauce,11.339183616161618,13.055489292929295,7
Vietnam,fish_sauce,13.055489292929295,14.771794969696971,1
Vietnam,fish_sauce,14.771794969696971,16.488100646464645,0
Vietnam,fish_sauce,16.488100646464645,18.204406323232323,0
Vietnam,fish_sauce,18.204406323232323,20.920712,2
Russia,egg,0.10436495466666666,0.12048986742857143,4
Russia,egg,0.12048986742857143,0.13661478019047618,9
Russia,egg,0.13661478019047618,0.15273969295238096,14
Russia,egg,0.15273969295238096,0.16886460571428571,17
Russia,egg,0.16886460571428571,0.18498951847619047,1
Russia,egg,0.18498951847619047,0.20111443123809525,2
Russia,egg,0.20111443123809525,1.217239344,1
Vietnam,egg,0.117642,0.13594186666666666,12
Vietnam,egg,0.13594186666666666,0.15424173333333333,2
Vietnam,egg,0.15424173333333333,0.1725416,5
Vietnam,egg,0.1725416,0.19084146666666665,2
