name,level,hasChild,parent,link,term_id,item_codes
Thức ăn tẩm ướp,3,False,Thức ăn chế biến,https://cooponline.vn/groups/thuc-an-tam-uop/,4003,"104691,104689,104014,104012,104006,103999,103992,91571,91456,81475,81473,81205,80528,80362,72883,72881,72879,71534,47521,46870,45233,45131,42714,42391,42381,32589,32587,32572,32555,32550,32432,32428,32424,32418,32415,32407,32305,30794,29505,29413,29401,29399,29390,29380,29362,29360,27729,27691,27678,27654,26459,26457,26453,26446,26450,26444,26442,26440,26438,26435,26433,26431,26429,26427,26425,26423,26421,26419,26417,26415,26413,26411,26409,26407,26405,26403,26387,26385,26383,19243,19241,16363,16107,12475,11322,11301,2673,2606,2594,1208"
"Thực phẩm đông, mát",1,True,,https://cooponline.vn/groups/thuc-pham-dong-mat/,,
Kem,2,True,"Thực phẩm đông, mát",https://cooponline.vn/groups/kem/,,
"Kem cây, ly",3,False,Kem,https://cooponline.vn/groups/kem-cay-ly/,4004,"100039,100037,100033,100031,100029,100027,100006,94367,94170,89653,89006,89005,89002,8210,8208,8206,8204,76797,76795,62708,56484,61442,61439,48255,48253,48251,46757,46671,46669,46667,46665,46607,46604,46600,46598,45906,45904,43519,40708,40704,40689,40685,40680,40674,38731,36011,36007,21078,20182,20180,16413,16411,16409,14190,14187"
Kem hộp,3,False,Kem,https://cooponline.vn/groups/kem-hop/,4005,"16734,16732,16728,100041,100035,98851,98849,98847,98844,312,68978,62385,62383,62380,62378,62375,62373,62371,62348,62346,62344,62342,62337,62333,62327,62325,62323,59108,59106,59104,59037,56490,59426,59421,40677,10981,38729,10979,37988,37924,37922,37920,36020,2959,16770,16768,10983,16730,16475,16473,16471,15620,15618,15616,14193,14177,14173,14171,14169,8312,8310,8300,8298,8215,318,315"
Thực phẩm đông lạnh,2,True,"Thực phẩm đông, mát",https://cooponline.vn/groups/thuc-pham-dong-lanh/,,
"Hoành thánh, bánh xếp…",3,False,Thực phẩm đông lạnh,https://cooponline.vn/groups/hoanh-thanh-banh-xep/,4006,"104327,104324,10248,10230,21218,98945,98943,98605,98603,94448,94443,94441,94439,94437,94431,94352,92776,2525,2522,91139,90187,90079,90055,87600,86164,85742,1383,84544,80433,79244,79229,79226,78885,77278,76711,76693,75657,75655,75652,75650,74381,74356,74309,74305,73417,73414,72273,70760,69357,68780,68230,16678,59580,50855,49815,43861,41849,41583,39996,38927,38912,38727,37996,37014,36609,36140,36023,35634,35631,35628,35620,27989,27686,27348,27342,27340,26196,25449,25446,25443,24456,23768,23765,23763,22943,21227,21215,21212,20499,20237,20170,1498,19839,17974,17965,16724,16720,16676,16674,16441,16399,16384,16382,16380,2528,15583,14194,13964,13961,12309,10860,10293,10224,9987,9934,9863,9069,9058,8284,8278,8276,8274,8259,7293,7287,7139,6572,3751,3295,3286,3246,1752,1486,1453"
"Lẩu, rau củ đông lạnh",3,False,Thực phẩm đông lạnh,https://cooponline.vn/groups/lau-rau-cu-dong-lanh/,4007,"106725,104444,104435,104432,100273,100271,100269,98049,94586,94276,94272,94260,94254,91813,89919,88583,86935,83955,80437,76685,72695,72688,72678,69330,68012,67966,66234,63441,63439,62498,46747,43357,40846,40844,40842,40553,40551,35722,32528,27360,27358,27356,27320,27311,27068,27045,27031,25778,24180,24178,24169,24167,20497,19831,19829,19792,19237,3234,17265,16445,16394,15572,14666,12959,7881,7878,7808"
"Thịt, hải sản đông lạnh",3,False,Thực phẩm đông lạnh,https://cooponline.vn/groups/thit-hai-san-dong-lanh/,4008,"105386,105385,103696,99998,99991,99988,99868,99865,99863,99861,99859,99857,99839,99837,99833,99817,97603,97547,97545,95796,95794,95263,94428,93849,93847,93844,93842,93839,93825,93367,93365,93293,89769,89765,69563,88585,88581,88579,86943,86933,86931,85170,84352,84350,83962,81477,80626,79817,79259,79257,78810,78808,78804,78802,78800,78553,77329,76136,75659,74246,71640,71154,71137,71133,69619,69334,69332,68954,68795,68793,68476,68385,68368,68340,68050,68044,68003,63069,61452,50853,49181,49179,49177,47607,47602,47600,46927,46921,46917,46839,46500,46197,45059,45057,45055,45025,45023,44880,42746,41765,40547,39786,39465,37016,35867,35865,35847,34320,28947,27354,27322,27317,27302,27297,26052,25583,25591,25589,2284,20925,23673,23671,23603,23273,23271,22814,3694,20915,20907,20487,20430,20111,17286,16766,16747,16664,16396,15196,14342,14340,14336,13592,13590,13530,13528,12969,12386,10882,10839,10764,10258,10206,9967,9903,9056,9054,8608,8606,7913,7909,7787,7337,5342,5340,3701,3653,3677,3520,3243,3240,2989,2974,2224,2042"
Thực phẩm đông lạnh khác,3,False,Thực phẩm đông lạnh,https://cooponline.vn/groups/thuc-pham-dong-lanh-khac/,4009,"105383,104438,104436,104382,104337,104335,103669,102829,102826,102823,100004,100001,99995,98984,98842,98840,98838,98836,98834,98522,98520,97227,43523,93362,93360,93357,93013,92320,92318,92316,92315,35981,35979,35977,35975,16670,90185,90181,90179,90177,90088,90086,90084,90082,90062,90061,90060,88827,88825,88822,88820,87542,86941,86938,1392,84077,83908,83906,83904,83846,80431,77412,77410,77403,76697,76687,76683,76681,76679,76677,75538,75446,75221,75219,74448,74212,74195,71226,71162,71129,70000,69998,69952,69642,69613,69582,69375,69340,69329,69023,68975,68798,68775,68773,68362,67993,3289,62712,62401,62397,62395,62393,62391,62389,59628,59626,59583,58829,58757,51955,51953,50851,47605,46804,45018,43465,43463,41926,41910,41812,41788,41745,41216,40545,40543,39481,38925,38923,38921,38687,38290,38273,38271,38269,38266,38264,37600,37598,37596,37020,37018,36882,36606,35624,35622,35179,33046,32820,32157,29364,27350,27346,27333,27335,27331,27329,27327,27325,27313,27307,27304,27300,27035,3704,26042,21089,24690,2284,23772,23679,23601,23397,22846,3671,3668,19833,19235,19233,19030,17313,17263,17261,16672,16407,15819,14377,14375,14352,14350,12971,12328,12315,11465,10886,10354,9935,9909,9065,7928,7891,7888,7291,2996,1926,1919"
