id,name,parent_id,parent_name,slug,level
19195,"ЛЕНТА PREMIUM, LENTA KIDS",19188.0,"Молочная продукция, яйца",lenta-premium-lenta-kids,3
19199,"ЛЕНТА PREMIUM, BONVIDA",19196.0,"Мясо, рыба, полуфабрикаты",lenta-premium-bonvida,3
19200,PREMIUM CLUB,19196.0,"Мясо, рыба, полуфабрикаты",premium-club,3
19222,ЛЕНТА KIDS,19120.0,Сладости и выпечка,lenta-kids,3
19322,Торты охлажденные,1005.0,"Торты, десерты и пирожные",torty-ohlazhdennye,3
19325,Торты охлажденные,17288.0,"Торты, десерты и пирожные",torty-ohlazhdennye,3
19332,Специализированные смеси,19328.0,Детские смеси,specializirovannye-smesi,3
19340,Мясо-овощное пюре,19336.0,Мясное и овощное пюре,myaso-ovoshchnoe-pyure,3
19346,Сухие детские каши,19342.0,Каши,suhie-detskie-kashi,3
19352,Функциональные напитки,19350.0,Ложковые и питьевые йогурты,funkcionalnye-napitki,3
19360,Детский чай,19356.0,"Вода, напитки",detskijj-chajj,3
19381,Детские хлебцы и палочки,19363.0,Снеки и печенье,detskie-hlebcy-i-palochki,3
19438,Детские поильники,19434.0,Товары для кормления,detskie-poilniki,3
19471,Детские кисломолочные продукты,17390.0,Молочная продукция для детей,detskie-kislomolochnye-produkty,3
19500,Ночные подгузники,19496.0,Подгузники и пеленки,nochnye-podguzniki,3
19505,Уход за кожей,19501.0,Гигиена и уход,uhod-za-kozhejj,3
19521,"Пятновыводители, отбеливатели",19514.0,Детская бытовая химия,pyatnovyvoditeli-otbelivateli,3
19534,Детское оружие,19530.0,Игрушки и игры,detskoe-oruzhie,3
19545,Фломастеры,19542.0,Творчество и хобби,flomastery,3
19558,Карандаши,19554.0,Школьные принадлежности,karandashi,3
19569,Научно-популярная литература,19565.0,Книги и учебники,nauchno-populyarnaya-literatura,3
19578,Пижамы,19574.0,"Одежда, аксессуары",pizhamy,3
19596,Праздничная атрибутика,19592.0,Детский праздник,prazdnichnaya-atributika,3
20065,Товары для консервирования,19965.0,Скидка 50% на посуду для приготовления,tovary-dlya-konservirovaniya,3
