category_id,name,price,pricing_unit,supermarket
31,"Макароны ШЕБЕКИНСКИЕ Перья №343 группа А, 450г",73.49,450г,Lenta
31,"Макароны ЭКСТРА М Спиральки №73 группа В высший сорт, 400г",49.99,400г,Lenta
31,"Макароны ЭКСТРА М Рожки классические №88 группа В высший сорт, 400г",50.49,400г,Lenta
31,"Макароны 365 ДНЕЙ Рожки, группа В высший сорт, 400г",22.1,400г,Lenta
31,"Макароны 365 ДНЕЙ Спираль, группа В высший сорт, 400г",23.49,400г,Lenta
31,"Макароны MAKFA Звездочки, 250г",68.49,250г,Lenta
31,"Макароны 365 ДНЕЙ Спагетти, группа В высший сорт, 400г",23.49,400г,Lenta
31,"Макароны BARILLA Collezione Tagliatelle, группа А высший сорт, 500г",382.49,500г,Lenta
31,"Макароны AIDA Спагетти группа А высший сорт, 500г",84.2,500г,Lenta
31,"Макароны AIDA Рожок группа А высший сорт, 450г",110.59,450г,Lenta
31,"Макароны AIDA Перо группа А высший сорт, 450г",110.59,450г,Lenta
31,"Макароны BARILLA Bucatini n.9 группа А высший сорт, 400г",106.49,400г,Lenta
31,"Макароны ШЕБЕКИНСКИЕ Лагман-лапша группа А, высший сорт, 350г",78.99,350г,Lenta
31,"Макароны РОЛЛТОН Рожки, группа А высший сорт, 400г",73.68,400г,Lenta
31,"Макароны РОЛЛТОН Спирали, группа А высший сорт, 400г",73.68,400г,Lenta
31,"Макароны PASTERONI Spaghetti №114 группа А высший сорт, 450г",127.99,450г,Lenta
31,"Макароны AMERIA Спагетти №3, группа В высший сорт, 900г",100.99,900г,Lenta
31,"Макароны GRANMULINO Premium Спагетти, 400г",107.49,400г,Lenta
31,"Макароны безглютеновые FEDERICI Спагетти, 400г",210.59,400г,Lenta
31,"Макароны PASTERONI Pipe Rigate №126 группа А высший сорт, 400г",127.99,400г,Lenta
31,"Макароны AIDA Lasagne Лазанья из твердых сортов пшеницы, 450г",128.42,450г,Lenta
31,"Макароны GRAND DI PASTA Farfalle Бантики высший сорт, 400г",122.49,400г,Lenta
31,"Макароны BARILLA Collezione Orecchiette, группа А высший сорт, 500г",389.99,500г,Lenta
31,"Макароны BARILLA Capellini n.1 из твердых сортов пшеницы группа А высший сорт, 450г",104.99,450г,Lenta
31,"Макароны BARILLA Bavette n.13 из твердых сортов пшеницы группа А высший сорт, 450г",106.49,450г,Lenta
31,"Макароны BARILLA Cellentani n.297 из твердых сортов пшеницы группа А высший сорт, 450г",106.49,450г,Lenta
31,"Макароны BARILLA Fusilli n.98 из твердых сортов пшеницы группа А высший сорт, 450г",104.99,450г,Lenta
31,"Макароны BARILLA Pipe Rigate n.91 из твердых сортов пшеницы группа А высший сорт, 450г",122.49,450г,Lenta
31,"Макароны BARILLA Filini Vermicelles n.30 из твердых сортов пшеницы группа А высший сорт, 450г",101.99,450г,Lenta
