,name,price,uom,product_type,supermarket,weight,price_kg,number_of_units,price_unit,volume,price_lit
1069,"Чай черный WILLIAMS Assam Crystal индийский ассам с высоким содержанием чайных почек, листовой, 100г",2.39351344,100г,black_tea,Lenta,100.0,23.9351344,,,,
1070,"Чай черный TEATALE Christmas Time байховый с ароматом сливы среднелистовой, 50г",1.49797744,50г,black_tea,Lenta,50.0,29.9595488,,,,
1071,"Чай черный WILLIAMS Bright Crystal OPA отборный цейлонский, крупнолистовой, 100г",2.39351344,100г,black_tea,Lenta,100.0,23.9351344,,,,
1072,"Чай зеленый ВЫБОР СЕМЬИ байховый с ароматом жасмина, крупнолистовой, 100г",1.5134558399999998,100г,green_tea,Lenta,100.0,15.134558399999998,,,,
1075,"Чай черный TEATONE с ароматом барбариса, 15пак",2.5538254400000002,15пак,black_tea,Lenta,27.0,94.58612740740742,,,,
1077,"Чай черный BASILUR Винтажные цветы Жасминовая мечта, листовой, 75г",4.305980320000001,75г,black_tea,Lenta,75.0,57.41307093333333,,,,
1078,"Чай зеленый BASILUR Винтажные цветы Цветочный букет, листовой, 75г",4.305980320000001,75г,green_tea,Lenta,75.0,57.41307093333333,,,,
1079,"Чай зеленый BASILUR Винтажные цветы Тропическая страсть, листовой, 75г",4.305980320000001,75г,green_tea,Lenta,75.0,57.41307093333333,,,,
1080,"Чай черный NADIN с чабрецом, крупнолистовой, 50г",1.19946544,50г,black_tea,Lenta,50.0,23.989308799999996,,,,
1089,"Чай черный ВЫБОР СЕМЬИ с чабрецом, 100пак",1.44269744,100пак,black_tea,Lenta,180.0,8.014985777777778,,,,
1091,"Чай зеленый ВЫБОР СЕМЬИ с ароматом бергамота, 50г",0.6986286399999999,50г,green_tea,Lenta,50.0,13.9725728,,,,
1092,"Чай черный ВЫБОР СЕМЬИ с ароматом Бергамота, среднелистовой, 100г",1.0225694399999998,100г,black_tea,Lenta,100.0,10.2256944,,,,
1093,"Чай черный ВЫБОР СЕМЬИ с чабрецом, среднелистовой, 100г",1.0115134399999999,100г,black_tea,Lenta,100.0,10.115134399999999,,,,
1094,"Чай черный ВЫБОР СЕМЬИ с мятой, среднелистовой, 100г",1.0115134399999999,100г,black_tea,Lenta,100.0,10.115134399999999,,,,
1095,"Чай черный ЛЕНТА крупнолистовой, 200г",2.09500144,200г,black_tea,Lenta,200.0,10.4750072,,,,
1097,"Чай черный JOLLY в пакетиках для разовой заварки, 100пак",3.4913742400000003,100пак,black_tea,Lenta,200.0,17.456871200000002,,,,
1099,"Чай черный ВЫБОР СЕМЬИ байховый гранулированный, 180г",1.28017424,180г,black_tea,Lenta,180.0,7.112079111111112,,,,
1100,"Чай черный ВЫБОР СЕМЬИ байховый гранулированный, 100г",0.81471664,100г,black_tea,Lenta,100.0,8.1471664,,,,
1102,"Чай черный AKBAR Сливочная карамель, листовой, 100г",6.02839456,100г,black_tea,Lenta,100.0,60.2839456,,,,
1104,"Чай черный AKBAR Грейпфрут и арбуз, листовой, 100г",6.02839456,100г,black_tea,Lenta,100.0,60.2839456,,,,
