,name,price,uom,supermarket,product_type,weight,price_kg,number_of_units,price_unit,volume,price_lit
2229,Trà Ô long Trà Đại Gia gói 100g,69700.0,G1,Winmart,green_tea,100.0,697000.0,,,,
2233,Trà xanh Cozy hương sen hộp 50g,33100.0,HOP,Winmart,green_tea,50.0,662000.0,,,,
2235,Trà đen Cozy hương dâu hộp 50g,37100.0,HOP,Winmart,black_tea,50.0,742000.0,,,,
2236,Trà Cozy hương đào hộp 50g,37100.0,HOP,Winmart,black_tea,50.0,742000.0,,,,
2237,Trà hương nhài Cozy hộp 50g,33100.0,HOP,Winmart,green_tea,50.0,662000.0,,,,
2241,Trà Đại Gia bắc thái gói 500g,162000.0,G1,Winmart,green_tea,500.0,324000.0,,,,
2242,Trà xanh Thái Nguyên đặc biệt Trà Đại Gia gói 150g,75500.0,G1,Winmart,green_tea,150.0,503333.3333333333,,,,
2244,Trà Ô long thượng hạng  Đại Gia gói 150g,141400.0,G1,Winmart,green_tea,150.0,942666.6666666666,,,,
2246,Trà Ceylon Dilmah hương bạc hà hộp 30g,49000.0,HOP,Winmart,black_tea,30.0,1633333.3333333333,,,,
2250,Trà Ô long Vân Tiên Cozy gói 100g,107000.0,G1,Winmart,green_tea,100.0,1070000.0,,,,
2251,Trà Ô long thượng Phúc Long  hạng gói 150g,157100.0,G1,Winmart,green_tea,150.0,1047333.3333333333,,,,
2259,Trà Dilmah Ceylon Gold – hộp 50g/ 25 túi lọc,43000.0,HOP,Winmart,black_tea,50.0,860000.0,,,,
2263,Trà đen hảo hạng túi lọc VINATEA hộp 50g,33100.0,HOP,Winmart,black_tea,50.0,662000.0,,,,
2269,Trà hoa cúc mật ong Vinatea hộp 40g,44100.0,HOP,Winmart,black_tea,40.0,1102500.0,,,,
2270,Trà ướp nhài tự nhiên Vinatea 100g,93200.0,HOP,Winmart,green_tea,100.0,932000.0,,,,
2271,Trà hoa nhài Vinatea hộp 50g,41800.0,HOP,Winmart,green_tea,50.0,836000.0,,,,
2273,Trà Tân Cương nõn tôm Việt Hoa,184600.0,G1,Winmart,green_tea,,,,,,
2277,Mì Ý Angel Hair Barilla hộp 500g,75500.0,G1,Winmart,spaghetti,500.0,151000.0,,,,
2278,Mì Spaghettini n.3 Barilla hộp 500g,75500.0,G1,Winmart,spaghetti,500.0,151000.0,,,,
2280,Mì Spaghetti Barilla số 5 hộp 500g,75500.0,G1,Winmart,spaghetti,500.0,151000.0,,,,
2295,Mì Ý spaghetti số 3 Pasta Zara gói 500g,36700.0,G1,Winmart,spaghetti,500.0,73400.0,,,,
2299,Mì spaghetti số 25 Santa Lucia gói 500g,43100.0,G1,Winmart,spaghetti,500.0,86200.0,,,,
2316,Mì sợi tròn spaghetti Golden Farm gói 500g,39300.0,G1,Winmart,spaghetti,500.0,78600.0,,,,
2332,Mì Spaghetti Olivoilà sợi N.5 500g,47300.0,HOP,Winmart,spaghetti,500.0,94600.0,,,,
2337,Mì Ý Agnesi Spaghettini N’2 500g,62000.0,G1,Winmart,spaghetti,500.0,124000.0,,,,
2338,Mì Ý Agnesi Spaghettini N’3 500g,62000.0,G1,Winmart,spaghetti,500.0,124000.0,,,,
2377,Mì Ý Ottogi 500g,42900.0,G1,Winmart,spaghetti,500.0,85800.0,,,,
2467,Bún khô Safoco gói 400g,29700.0,G1,Winmart,rice_noodles,400.0,74250.0,,,,
2468,Bún tươi Safoco gói 300g,21800.0,G1,Winmart,rice_noodles,300.0,72666.66666666667,,,,
2490,Gạo Ngọc Nương Lức đỏ túi 1kg,51000.0,G1,Winmart,rice,1000.0,51000.0,,,,
2491,Gạo ST25  Ngọc Nương túi 5Kg,189000.0,G1,Winmart,rice,5000.0,37800.0,,,,
2492,Gạo Lúa Tôm ST25 Ngọc Nương túi 5Kg,199000.0,G1,Winmart,rice,5000.0,39800.0,,,,
2494,Gạo Japonica Neptune bịch 5kg,137600.0,G1,Winmart,rice,5000.0,27520.0,,,,
2497,Gạo Ngọc Nương ST25 3 Kg,115000.0,G1,Winmart,rice,3000.0,38333.333333333336,,,,
2676,Bánh mỳ Paket Bảo Ngọc gói 108g,12200.0,G1,Winmart,bread,108.0,112962.96296296296,,,,
2681,Bánh Sandwich nhỏ  Bảo Ngọc  gói 275g,20000.0,G1,Winmart,bread,275.0,72727.27272727274,,,,
2684,Bánh mì sandwich Staff gói 275g,19000.0,G1,Winmart,bread,275.0,69090.90909090909,,,,
2698,Bánh mỳ Otto Sandwich tươi lạt gói 220g,16500.0,G1,Winmart,bread,220.0,75000.0,,,,
2788,Sữa chua nếp cẩm Saigon milk hộp 120g,13000.0,HOP,Winmart,yogurt,120.0,108333.33333333333,,,,
2826,Dầu đậu nành Simply chai 1 lít,69100.0,CHA,Winmart,soybean_oil,,,,,1000.0,69100.0
2827,Dầu đậu nành Simply chai 2L,138100.0,CHA,Winmart,soybean_oil,,,,,2000.0,69050.0
2828,Dầu đậu nành can  Simply chai 5L,339300.0,CHA,Winmart,soybean_oil,,,,,5000.0,67860.0
2833,Dầu hướng dương chai  Simply chai 1L,84900.0,CHA,Winmart,sunflower_oil,,,,,1000.0,84900.0
2835,Dầu đậu nành Meizan can 5L,316300.0,CHA,Winmart,soybean_oil,,,,,5000.0,63260.0
2838,Dầu nành Tường An can 5L,344200.0,CHA,Winmart,soybean_oil,,,,,5000.0,68840.0
2839,Dầu đậu nành Tường An chai 2L,140400.0,CHA,Winmart,soybean_oil,,,,,2000.0,70200.0
2841,Dầu nành Tường An chai 1L,70200.0,CHA,Winmart,soybean_oil,,,,,1000.0,70200.0
2848,Dầu hướng dương Organic Sloboda chai 1 lít,68000.0,CHA,Winmart,sunflower_oil,,,,,1000.0,68000.0
2853,Dầu đậu nành TƯỜNG AN Marvela 2L,140600.0,CHA,Winmart,soybean_oil,,,,,2000.0,70300.0
2854,Dầu đậu nành TƯỜNG AN Marvela 1L,68500.0,CHA,Winmart,soybean_oil,,,,,1000.0,68500.0
2856,Dầu đậu nành Gold Tiara 2L,137500.0,CHA,Winmart,soybean_oil,,,,,2000.0,68750.0
2861,Dầu Hướng Dương Tsar 1L,68200.0,CHA,Winmart,sunflower_oil,,,,,1000.0,68200.0
2867,Dầu đậu nành Janbee chai 1L,70300.0,CHA,Winmart,soybean_oil,,,,,1000.0,70300.0
2873,Dầu hướng dương Sloboda 1.8L,140000.0,CHA,Winmart,sunflower_oil,,,,,1800.0,77777.77777777777
2874,Dầu hướng dương Mamrukovskoe 1000ml,82900.0,CHA,Winmart,sunflower_oil,,,,,1000.0,82900.0
2875,Dầu đậu nành không biến đổi gen Amur Pearl chai 1L,69300.0,CHA,Winmart,soybean_oil,,,,,1000.0,69300.0
2878,Nước mắm Knorr ngon tròn vị 15 độ đạm 750ml,59400.0,CHA,Winmart,fish_sauce,,,,,750.0,79200.0
2879,Nước mắm Knorr cao cấp 43 độ đạm chai thủy tinh 500ml,114900.0,CHA,Winmart,fish_sauce,,,,,500.0,229800.0
2880,Nước mắm cá cơm Phú Quốc Hồng Hạnh chai 650ml,98300.0,CHA,Winmart,fish_sauce,,,,,650.0,151230.76923076922
2882,Nước mắm Phú Quốc Thanh Quốc chai 520ml,136300.0,CHA,Winmart,fish_sauce,,,,,520.0,262115.38461538465
2883,Nước mắm Nam Ngư chai 750ml,52000.0,CHA,Winmart,fish_sauce,,,,,750.0,69333.33333333333
2884,Nước mắm nhỉ chánh hiệu Thanh Hà 40 độ đạm chai 520ml,126500.0,CHA,Winmart,fish_sauce,,,,,520.0,243269.23076923078
2885,Nước mắm Nam Ngư chai 900ml,60200.0,CHA,Winmart,fish_sauce,,,,,900.0,66888.88888888889
