,name,price,pricing_unit,product_type,supermarket,weight,price_kg,number_of_units,price_unit,volume,price_lit
1397,Йогурт Сарафаново Термостатный 1.5% БЗМЖ 125г,29.99,125 г,yogurt,Pyaterochka,125.0,239.92,,,,
1399,Йогурт Из Села Удоево клубника-земляника 2.5% 260г,47.99,260 мл,yogurt,Pyaterochka,260.0,184.5769230769231,,,260.0,184.5769230769231
1400,Йогурт Домик в деревне натуральный 1.8% 260г,54.99,260 г,yogurt,Pyaterochka,260.0,211.50000000000003,,,,
1409,Йогурт Вкуснотеево с клубникой 2% 690г,139.99,690 г,yogurt,Pyaterochka,690.0,202.8840579710145,,,,
1412,Йогурт Viola Verry Berry манго 2.6% 180г,78.99,180 г,yogurt,Pyaterochka,180.0,438.8333333333333,,,,
1413,Йогурт Viola Very berry Вишня 2.6% 180г,78.99,180 г,yogurt,Pyaterochka,180.0,438.8333333333333,,,,
1415,Йогурт Neo Греческий Клубника 100% натуральный с высоким содержанием белка 2% БЗМЖ 125г,73.99,125 г,yogurt,Pyaterochka,125.0,591.92,,,,
1416,Йогурт Viola free безлактозный 3.4% 180г,78.99,180 г,yogurt,Pyaterochka,180.0,438.8333333333333,,,,
1419,Йогурт Вкус & Польза натуральный греческий 4% 190г,105.99,190 г,yogurt,Pyaterochka,190.0,557.8421052631579,,,,
1427,Йогурт Epica натуральный 6% 130г,55.99,130 г,yogurt,Pyaterochka,130.0,430.69230769230774,,,,
1429,Йогурт Lactica двухслойный греческий с печеным яблоком и карамелью 3.4% 120г,68.99,120 г,yogurt,Pyaterochka,120.0,574.9166666666666,,,,
1432,Йогурт Lactica двухслойный греческий с малиной 3.4% 120г,64.99,120 г,yogurt,Pyaterochka,120.0,541.5833333333333,,,,
1567,Хлеб сандвичный Harry's American Sandwich пшеничный нарезка 470г,123.99,470 г,bread,Pyaterochka,470.0,263.80851063829783,,,,
1568,Хлеб Коломенский Даниловский ржано-пшеничный нарезка 350г,67.99,350 г,bread,Pyaterochka,350.0,194.25714285714284,,,,
1571,Хлеб Черемушки Столичный нарезка 330г,49.99,330 г,bread,Pyaterochka,330.0,151.4848484848485,,,,
1573,Хлеб Хлебный Дом тостовый пшеничный 350г,70.99,350 г,bread,Pyaterochka,350.0,202.82857142857142,,,,
1574,Хлеб Коломенское Дарницкий формовой нарезка 350г,52.49,350 г,bread,Pyaterochka,350.0,149.9714285714286,,,,
1575,Хлеб Коломенское Даниловский зерновой 300г,87.35,300 г,bread,Pyaterochka,300.0,291.16666666666663,,,,
1577,Хлеб Селяночка Бородинский нарезка половина 350г,39.99,350 г,bread,Pyaterochka,350.0,114.25714285714287,,,,
1578,Хлеб Хлебный Дом Геркулес зерновой нарезка 250г,62.99,250 г,bread,Pyaterochka,250.0,251.96,,,,
1579,Хлеб Селяночка Дарницкий 320г,32.99,320 г,bread,Pyaterochka,320.0,103.09375000000001,,,,
1580,Хлеб Ржаной Край зерновой нарезка 300г,109.99,300 г,bread,Pyaterochka,300.0,366.6333333333333,,,,
1582,Хлеб Ржаной Край заварной нарезка 300г,96.99,300 г,bread,Pyaterochka,300.0,323.29999999999995,,,,
1586,Хлеб Черемушки Бородинский нарезка 390г,59.99,390 г,bread,Pyaterochka,390.0,153.82051282051282,,,,
