category_id,name,unit_of_measurement,price_reg,price_disc,pricing_clarification
251C13109,Слойка с сосиской замороженная п/ф 90г,шт,46.99,,90 г
251C13109,Чиабатта замороженная п/ф 110г,шт,30.99,,110 г
251C13109,Круассан с миндалем замороженный п/ф 70г,шт,81.99,,70 г
251C13109,Пирожок с зеленым луком и яйцом замороженный п/ф 65г,шт,36.99,,65 г
251C13109,Пирожок с капустой замороженный п/ф 75г,шт,36.99,,75 г
251C13109,Хлеб с семечками замороженный п/ф 400г,шт,71.99,,400 г
251C13109,Самса с курицей и овощами замороженная п/ф 122г,шт,50.99,,122 г
251C13109,Хачапури замороженное п/ф 100г,шт,50.99,,100 г
251C13109,Элеш с курицей замороженный п/ф 230г,шт,81.99,,230 г
251C13109,Кофе с молоком 260мл,шт,99.99,,260 мл
251C13109,Кофе Двойной Эспрессо 100мл,шт,79.99,,100 мл
251C16710,Салат сельдь под шубой Пятерочка Кафе 250г,шт,179.99,,250 г
251C16710,Салат Гнездо глухаря Пятерочка Кафе 200г,шт,189.99,,200 г
251C16710,Салат Черепаха с курицей и грецким орехом Пятерочка Кафе 200г,шт,199.99,,200 г
251C16710,Салат Деревенский с курицей и фасолью Пятерочка Кафе 200г,шт,159.99,,200 г
251C16710,Салат оливье Пятерочка Кафе 500г,шт,279.99,,500 г
251C16710,Салат Весенний Пятерочка Кафе 160г,шт,119.99,,160 г
251C16710,Салат Цезарь с курицей Пятерочка Кафе 180г,шт,229.99,,180 г
251C16710,Салат Винегрет Пятерочка Кафе 180г,шт,99.99,,180 г
251C16710,Салат Мимоза Пятерочка Кафе 200г,шт,179.99,,200 г
251C16710,Салат Грин Микс с курицей и шампиньонами Пятерочка Кафе 150г,шт,179.99,,150 г
251C16710,Рулетики из ветчины с сыром Пятерочка Кафе 150г,шт,169.99,,150 г
251C16710,Салат сельдь под шубой Пятерочка Кафе 500г,шт,299.99,,500 г
251C16710,Салат Кобб Пятерочка Кафе 170г,шт,169.99,,170 г
251C16710,Багет ржаной чесночный 180г,шт,69.99,,180 г
251C16710,Багет традиционный 230г,шт,45.99,,230 г
251C16710,Улитка с корицей 80г,шт,39.99,,80 г
251C16710,Улитка Греческая с курицей и картофелем 160г,шт,59.99,,160 г
251C16710,Лепешка томаты с базиликом 165г,шт,79.99,,165 г
251C16710,Чиабатта Рустик 290г,шт,59.99,,290 г
251C16710,Розан с начинкой Черная смородина 120г,шт,39.99,,120 г
251C16710,Чебупицца Пепперони Горячая Штучка 250г,шт,216.99,,250 г
251C16710,Улитка Греческая с мясом 160г,шт,59.99,,160 г
251C16710,Донат с шоколадной начинкой 70г,шт,49.99,,70 г
251C16710,Салат Морковь по-корейски Рестория Шеф 400г,шт,99.99,84.99,400 г
251C16710,Донат с клубничной начинкой 70г,шт,49.99,,70 г
251C16710,Багет Фитнес 200г,шт,49.99,,200 г
251C16710,Чебупицца Курочка по-итальянски Горячая Штучка 250г,шт,209.99,,250 г
251C16710,Маффин с шоколадом 2х120г,шт,99.99,,240 г
251C16710,Багет чесночный 158г,шт,69.99,,158 г
251C16710,Улитка Греческая со шпинатом и сыром 160г,шт,59.99,,160 г
251C16710,Хотстеры Горячая Штучка 250г,шт,219.99,,250 г
251C16710,Блины с творогом С Пылу с Жару 360г,шт,199.99,149.99,360 г
251C16710,Слойка с начинкой Вишня 81г,шт,29.99,,81 г
251C16710,Пирог домашний с творожной начинкой 96г,шт,39.99,,96 г
251C16710,Каша Рисовая на молоке Пятерочка Кафе 200г,шт,94.99,,200 г
251C16710,Слойка с малиной 75г,шт,29.99,,75 г
251C16710,Блины с мясом С Пылу с Жару 360г,шт,199.99,139.99,360 г
251C16710,Чебупели Сочные с мясом Горячая Штучка 250г,шт,194.99,,250 г
251C16710,Блины с мясом Останкино 420г,шт,185.99,,420 г
251C16710,Самса с курицей и овощами 100г,шт,49.99,,100 г
251C16710,Хлебушек заварной бездрожжевой 315г,шт,65.99,,315 г
251C16710,Слойка с ветчиной и сыром 80г,шт,39.99,,80 г
251C16710,Суп куриный с домашней лапшой Пятерочка Кафе 250г,шт,109.99,,250 г
251C16710,Элеш с курицей 220г,шт,79.99,,220 г
251C16710,Чебупели с ветчиной и сыром Горячая штучка 250г,шт,268.58,239.8,250 г
251C16710,Пекан кленовый 70г,шт,59.99,,70 г
251C16710,Багет мини 120г,шт,25.99,,120 г
251C16710,Донат с черничной начинкой 67г,шт,59.99,,67 г
251C16710,Круассан с миндалем 68г,шт,79.99,,68 г
251C16710,Слойка с сосиской 75г,шт,45.99,,75 г
251C16710,Улитка с ванильной начинкой и изюмом 90г,шт,45.99,,90 г
251C16710,Кофе Латте 330мл,шт,99.99,,330 мл
251C16710,Пирожок с яйцом и зеленым луком 65г,шт,35.99,,65 г
251C16710,Блины с вишней С Пылу с Жару 360г,шт,175.99,,360 г
251C16710,Хлеб Маг с семечками 390г,шт,75.99,,390 г
251C16710,Блинчики для фаршировки С пылу с жару 310г,шт,113.99,,310 г
251C16710,Пирожок с начинкой Капуста 75г,шт,35.99,,75 г
251C16710,Чебурек Твистер's band Чебурито с мясом замороженный 85г,шт,30.99,,85 г
251C16710,Булочка с корицей замороженная п/ф 90г,шт,40.99,,90 г
251C16710,Суп гороховый с копченостями Пятерочка Кафе 250г,шт,129.99,,250 г
251C16710,Морс облепиховый Пятерочка Кафе 0.5л,шт,99.99,,500 мл
251C16710,Каша пшенная на молоке Пятерочка Кафе 200г,шт,94.99,,200 г
251C16710,Онигири Филадельфия с семгой и творожным сыром Пятерочка Кафе 110г,шт,149.99,,110 г
251C16710,Салат морская капуста с крабовым мясом Fish House 400г,шт,119.99,,400 г
251C16710,Блины с ветчиной и сыром С Пылу с Жару 360г,шт,195.99,,360 г
251C16710,Шницель куриный с картофельным пюре Пятерочка Кафе 250г,шт,169.99,,250 г
251C16710,Кофе Большой Капучино 270мл,шт,99.99,,270 мл
251C16710,Круггетсы с сырным соусом Горячая Штучка 250г,шт,199.99,144.99,250 г
251C16710,Блины с куриным мясом Останкино 420г,шт,169.99,139.99,420 г
251C16710,Салат Витаминный из морской капусты Fish House 430г,шт,99.99,,430 г
251C16710,Чиабатта пшеничная 100г,шт,29.99,,100 г
251C16710,Блинчики с мясом Красная цена 420г,шт,99.99,,420 г
251C16710,Котлета По-Киевски с картофельным пюре Пятерочка Кафе 260г,шт,219.99,,260 г
251C16710,Плов с курицей Пятерочка Кафе 250г,шт,159.99,,250 г
251C16710,Салат дальневосточный из морской капусты Fish House 250г,шт,59.99,,250 г
251C16710,Лазанья мясная замороженная Золотой Петушок 370г,шт,229.99,,370 г
251C16710,Салат из морской капусты с кальмаром в майонезе Fish House 250г,шт,114.99,,250 г
251C16710,Круассан классический 50г,шт,29.99,,50 г
251C16710,Сэндвич куриный с беконом Пятерочка Кафе 185г,шт,179.99,,185 г
251C16710,Онигири с тунцом и соусом Спайси Пятерочка Кафе 110г,шт,129.99,,110 г
