category_code,name,price,uom,supermarket
MENU0133,Lốc 4 hộp sữa tươi tiệt trùng ít đường Vinamilk Green Farm 180ml,40500.0,G4,Winmart
MENU0133,Sữa tiệt trùng tự nhiên Dalatmilk 220ml,9400.0,G1,Winmart
MENU0133,Lốc 4 sữa tươi tiệt trùng Dalat Milk không đường vị tự nhiên hộp 180ml,37000.0,G4,Winmart
MENU0133,Lốc 4 hộp sữa tươi tiệt trùng không đường Vinamilk Green Farm 180ml,40500.0,G4,Winmart
MENU0133,Lốc 4 hộp sữa TH true vị tự nhiên Milk Gold 180ml,72000.0,G4,Winmart
MENU0133,Lốc 4 hộp sữa tươi tiệt trùng Lothamilk ít đường 180ml,35200.0,G4,Winmart
MENU0133,Lốc 4 hộp sữa tươi tiệt trùng Lothamilk có đường 180ml,35200.0,G4,Winmart
MENU0133,Lốc 4 hộp sữa tiệt trùng THTRUE MILK topkid 180ml,57400.0,G4,Winmart
MENU0133,Sữa tiệt trùng vị sô cô la Active 20+ Dutch Lady gói 220ml,6800.0,G1,Winmart
MENU0133,Sữa tiệt trùng Binggrae vị chuối lốc 6 hộp x 200ml,111000.0,G6,Winmart
MENU0133,Lốc 6 hộp sữa tiệt trùng Bringrae Hương dưa lưới 200ml,111000.0,G6,Winmart
MENU0133,Sữa tươi tiệt trùng Vinamilk ít đường hộp 1 lít,37900.0,HOP,Winmart
MENU0133,Sữa tiệt trùng ít đường Vinamilk gói  220ml,7400.0,G1,Winmart
MENU0133,Sữa tiệt trùng Meadow Fresh hương socola lốc 3 hộp x 200ml,50000.0,G3,Winmart
MENU0133,Sữa tươi tiệt trùng Vinamilk ít đường lốc 4 hộp x 110ml,20900.0,G4,Winmart
MENU0133,Sữa tươi thanh trùng Meiji hộp 946ml,66500.0,HOP,Winmart
MENU0133,Sữa tươi thanh trùng Meiji 4.3% hộp 946ml,71000.0,HOP,Winmart
MENU0134,Lốc 4 hộp sữa Lof Malto lúa mach SôCôLa 180ml,31500.0,G4,Winmart
MENU0134,Lốc 4 hộp sữa Lof Malto Malt Mint lúa mạch 180ml,31500.0,G4,Winmart
