,name,price,pricing_unit,supermarket,product_type,weight,price_kg,number_of_units,price_unit,volume,price_lit
6279,"Чай черный TEATONE с ароматом мяты, 15пак",339.99,15пак,Lenta,black_tea,,,15.0,22.666,,
6280,"Чай зеленый TEATONE, 15пак",268.49,15пак,Lenta,green_tea,,,15.0,17.899333333333335,,
6281,"Чай черный TEATONE с ароматом чабреца, 15пак",389.47,15пак,Lenta,black_tea,,,15.0,25.96466666666667,,
6282,"Чай черный TEATONE с ароматом тропических фруктов, 15пак",389.47,15пак,Lenta,black_tea,,,15.0,25.96466666666667,,
6283,"Чай черный RICHARD Royal Ceylon Цейлонский листовой, 180г",393.49,180г,Lenta,black_tea,180.0,2186.055555555555,,,,
6284,"Чай черный TESS Kenya байховый, 100пак",446.31,100пак,Lenta,black_tea,,,100.0,4.4631,,
6285,"Чай зеленый ЧАЙНАЯ ПЛАНТАЦИЯ Имбирный апельсин байховый листовой, 70г",160.99,70г,Lenta,green_tea,70.0,2299.8571428571427,,,,
6288,"Чай зеленый ЧАЙНАЯ ПЛАНТАЦИЯ Сила тайги байховый листовой, 80г",157.89,80г,Lenta,green_tea,80.0,1973.6249999999998,,,,
6289,"Чай черный ЧАЙНАЯ ПЛАНТАЦИЯ с облепихой байховый листовой, 80г",157.89,80г,Lenta,black_tea,80.0,1973.6249999999998,,,,
6290,"Чай черный ЧАЙНАЯ ПЛАНТАЦИЯ Таежный байховый листовой, 80г",157.89,80г,Lenta,black_tea,80.0,1973.6249999999998,,,,
6291,"Чай черный ЧАЙНАЯ ПЛАНТАЦИЯ Миндальный пирог байховый листовой, 80г",157.89,80г,Lenta,black_tea,80.0,1973.6249999999998,,,,
6292,"Чай черный ЧАЙНАЯ ПЛАНТАЦИЯ Дикая вишня с розой байховый листовой, 80г",157.89,80г,Lenta,black_tea,80.0,1973.6249999999998,,,,
6293,"Чай черный ЧАЙНАЯ ПЛАНТАЦИЯ Груша с гранатом байховый листовой, 80г",157.89,80г,Lenta,black_tea,80.0,1973.6249999999998,,,,
6294,"Чай черный ЧАЙНАЯ ПЛАНТАЦИЯ с клюквой байховый листовой, 80г",157.89,80г,Lenta,black_tea,80.0,1973.6249999999998,,,,
6298,"Чай черный RICHARD Royal Love Цейлонский листовой, ж/б, 80г",537.49,80г,Lenta,black_tea,80.0,6718.625,,,,
6300,"Чай черный RICHARD Royal English Breakfast байховый, 100пак",422.19,100пак,Lenta,black_tea,,,100.0,4.2219,,
6301,"Чай черный BASILUR Избранная классика Earl Grey, листовой, 100г",421.05,100г,Lenta,black_tea,100.0,4210.5,,,,
6306,"Чай зеленый BONVIDA Молочный Улун для заваривания в 
чайнике, 20пак",371.49,20пак,Lenta,green_tea,,,20.0,18.5745,,
6307,"Чай зеленый BONVIDA с жасмином для заваривания в 
чайнике, 20пак",371.49,20пак,Lenta,green_tea,,,20.0,18.5745,,
6308,"Чай черный BONVIDA с чабрецом для заваривания в 
чайнике, 20пак",371.49,20пак,Lenta,black_tea,,,20.0,18.5745,,
6309,"Чай черный BONVIDA Эрл Грей с ароматом бергамота для заваривания в 
чайнике, 20пак",374.99,20пак,Lenta,black_tea,,,20.0,18.7495,,
6310,"Чай черный DOLCE ALBERO Классический, 20пак",147.36,20пак,Lenta,black_tea,,,20.0,7.368,,
6312,"Чай зеленый DOLCE ALBERO с ароматом гравиолы, 20пак",147.36,20пак,Lenta,green_tea,,,20.0,7.368,,
6313,"Чай черный DOLCE ALBERO с ароматом тропических фруктов, 20пак",140.99,20пак,Lenta,black_tea,,,20.0,7.0495,,
6314,"Чай черный DOLCE ALBERO с ароматом ягод, 20пак",147.36,20пак,Lenta,black_tea,,,20.0,7.368,,
6315,"Чай черный CURTIS Ягодный Блюз с ароматом ягод, 20пак",156.49,20пир,Lenta,black_tea,,,20.0,7.8245000000000005,,
6316,"Чай зеленый CURTIS Нежный манго, 20пир",154.99,20пир,Lenta,green_tea,,,20.0,7.7495,,
